0,1,2
"33.103227000000004,-84.366796",2020-03-01,49
"34.010878000000005,-85.176771",2020-03-01,49
"32.275344,-83.48034200000001",2020-03-01,51
"33.317059,-83.339663",2020-03-01,49
"31.859377000000002,-85.077727",2020-03-01,54
"34.87903,-83.407223",2020-03-01,44
"31.760403000000004,-84.758026",2020-03-01,53
"33.426859,-82.049444",2020-03-01,48
"33.642043,-84.020894",2020-03-01,49
"32.241549,-84.306781",2020-03-01,52
"32.722842,-81.627328",2020-03-01,48
"30.972496000000003,-84.868027",2020-03-01,55
"33.258051,-84.273339",2020-03-01,49
"34.556903999999996,-83.28868100000001",2020-03-01,46
"32.069334999999995,-84.76451899999999",2020-03-01,52
"32.059981,-84.221818",2020-03-01,52
"32.703124,-84.582116",2020-03-01,51
"33.5688,-82.88576",2020-03-01,48
"32.043908,-82.052217",2020-03-01,50
"32.560542,-84.21508299999999",2020-03-01,51
"32.01562,-82.892471",2020-03-01,51
"31.772157,-84.42886",2020-03-01,53
"30.868962,-83.948411",2020-03-01,55
"31.454362,-83.515048",2020-03-01,52
"32.183935999999996,-82.36702199999999",2020-03-01,50
"34.938691999999996,-83.782961",2020-03-01,43
"32.387046999999995,-82.589718",2020-03-01,50
"33.036737,-85.031746",2020-03-01,50
"31.700824,-83.636891",2020-03-01,52
"32.703662,-83.416286",2020-03-01,50
"34.874243,-84.002286",2020-03-01,43
"32.907469,-84.324382",2020-03-01,50
"34.83654,-85.293376",2020-03-01,46
"33.795381,-83.784266",2020-03-01,48
"31.22682,-82.383943",2020-03-01,53
"33.407596000000005,-82.66284399999999",2020-03-01,48
"32.962029,-82.77340600000001",2020-03-01,49
"31.611857,-81.919105",2020-03-01,53
"32.049343,-84.56065699999999",2020-03-01,52
"32.146558,-82.751307",2020-03-01,50
"34.601048,-83.744309",2020-03-01,46
"34.792742,-84.965686",2020-03-01,46
"31.975167,-83.40565699999999",2020-03-01,51
"33.755364,-82.753524",2020-03-01,47
"32.8443,-83.239491",2020-03-01,50
"31.535712,-83.861186",2020-03-01,52
"19.672837,-155.421895",2020-03-01,48
"21.372464,-157.913673",2020-03-01,72
"21.188495,-156.979972",2020-03-01,73
"22.021022,-159.442112",2020-03-01,72
"20.863747,-156.49381599999998",2020-03-01,72
"43.611186,-116.304409",2020-03-01,38
"44.848619,-116.375947",2020-03-01,24
"42.869212,-112.423672",2020-03-01,29
"42.306336,-111.341632",2020-03-01,23
"47.271692,-116.63973600000001",2020-03-01,33
"43.217372,-112.355721",2020-03-01,28
"43.541366,-114.29427700000001",2020-03-01,23
"43.899702000000005,-115.993695",2020-03-01,27
"48.235649,-116.630982",2020-03-01,31
"43.494876,-111.997623",2020-03-01,27
"48.705964,-116.302851",2020-03-01,31
"43.699096999999995,-113.29456200000001",2020-03-01,23
"43.350524,-114.756451",2020-03-01,24
"43.611438,-116.627276",2020-03-01,39
