0,1,2
"34.3587,-119.1331",2020-12-01,62
"38.4134,-108.26299999999999",2020-12-01,31
"30.7036,-87.0143",2020-12-01,42
"34.4428,-84.1733",2020-12-01,32
"33.2692,-83.0005",2020-12-01,38
"34.4566,-84.4903",2020-12-01,30
"33.3211,-83.3718",2020-12-01,38
"32.0422,-84.2043",2020-12-01,39
"31.9136,-82.9311",2020-12-01,39
"42.6912,-114.26299999999999",2020-12-01,30
"42.5931,-116.1427",2020-12-01,33
"40.1392,-88.1972",2020-12-01,30
"40.4058,-91.16799999999999",2020-12-01,31
"41.5099,-87.0713",2020-12-01,29
"40.751,-86.8643",2020-12-01,30
"41.8981,-90.5342",2020-12-01,28
"40.7353,-94.2443",2020-12-01,33
"41.3294,-91.7251",2020-12-01,29
"43.293,-91.8508",2020-12-01,26
"36.7508,-86.1925",2020-12-01,30
"37.207,-86.6825",2020-12-01,31
"36.5526,-89.1877",2020-12-01,35
"37.4033,-84.0207",2020-12-01,29
"37.5522,-85.2692",2020-12-01,30
"36.9956,-86.4236",2020-12-01,31
"31.5978,-92.5617",2020-12-01,44
"30.2884,-91.3632",2020-12-01,48
"29.7869,-92.2901",2020-12-01,46
"39.3002,-76.6105",2020-12-01,44
"45.5901,-84.9868",2020-12-01,30
"43.9898,-84.3898",2020-12-01,31
"43.6452,-84.8394",2020-12-01,32
"43.9952,-85.8114",2020-12-01,31
"46.0208,-86.1994",2020-12-01,30
"47.7743,-96.4",2020-12-01,28
"43.6696,-96.2632",2020-12-01,31
"46.3623,-96.4767",2020-12-01,29
"33.7993,-90.8845",2020-12-01,41
"30.8554,-88.6423",2020-12-01,44
"30.7738,-89.5868",2020-12-01,45
"33.2731,-90.9444",2020-12-01,41
"42.3494,-99.9232",2020-12-01,39
"40.5304,-101.6942",2020-12-01,42
"41.3939,-99.7269",2020-12-01,40
"41.1944,-101.6445",2020-12-01,40
"41.0503,-100.7445",2020-12-01,41
"41.1411,-115.3514",2020-12-01,27
"39.9778,-116.2722",2020-12-01,31
"40.2871,-74.1524",2020-12-01,48
"41.0338,-74.3003",2020-12-01,44
"32.4579,-104.3065",2020-12-01,55
"43.9954,-76.0535",2020-12-01,44
"42.8175,-74.0436",2020-12-01,47
"35.921,-81.1775",2020-12-01,36
"47.4462,-97.1648",2020-12-01,29
"40.8433,-82.2701",2020-12-01,28
"38.6039,-82.5172",2020-12-01,31
"41.1686,-81.1969",2020-12-01,30
"41.3436,-77.0553",2020-12-01,37
"41.7053,-71.2851",2020-12-01,56
"34.2897,-81.6001",2020-12-01,38
"43.1791,-99.2022",2020-12-01,38
"44.5467,-99.0046",2020-12-01,32
"44.021,-98.0921",2020-12-01,32
"35.763000000000005,-89.6277",2020-12-01,37
"35.5232,-87.49700000000001",2020-12-01,33
"35.6157,-87.0778",2020-12-01,33
"36.1387,-84.6393",2020-12-01,32
"31.8413,-95.6617",2020-12-01,44
"30.2656,-98.4",2020-12-01,44
"28.4454,-96.5833",2020-12-01,56
"33.0837,-94.3576",2020-12-01,44
